Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Estimates Start After
Panama,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2038.172,2252.051,2429.949,2437.808,2487.416,2573.287,2616.159,2571.627,2176.564,2137.259,2276.276,2450.196,2726.974,2916.29,3046.035,3050.717,3524.097,3731.099,3963.406,4070.418,4046.456,4029.975,4106.466,4244.176,4565.096,4886.41,5315.835,6029.794,6931.115,7387.086,7896.911,9230.782,10549.088,11648.737,12563.85,13113.709,13654.072,14515.42,2013
Peru,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",20.186,24.394,24.254,18.859,19.439,16.82,25.236,41.673,32.971,40.692,28.32,33.988,35.376,34.329,43.792,52.139,54.09,56.911,54.6,49.378,51.005,51.613,54.451,59.045,66.71,74.97,87.887,102.187,121.591,121.019,148.014,168.772,189.024,197.866,203.021,192.391,195.14,207.072,2015
Peru,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1165.208,1373.516,1332.89,1012.055,1019.117,861.88,1264.141,2041.316,1580.061,1909.078,1301.889,1532.415,1565.544,1516.372,1904.883,2233.439,2281.698,2364.128,2233.585,1989.187,2023.431,2016.355,2094.815,2236.925,2488.821,2754.344,3179.679,3620.997,4242.943,4158.557,5008.68,5669.168,6280.354,6491.043,6589.659,6176.681,6198.612,6506.042,2015
Serbia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.312,12.313,16.177,21.219,24.743,26.075,30.721,40.499,49.165,42.611,39.035,46.488,40.734,45.52,44.211,37.16,37.745,37.739,2015
Serbia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2937.238,2300.699,1507.679,1238.888,1640.945,2156.887,2836.54,3315.331,3504.295,4145.034,5486.489,6688.951,5820.469,5353.561,6424.028,5656.261,6351.684,6199.12,5244.312,5376.261,5396.976,2014
Suriname,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.192,1.333,1.372,1.325,1.296,1.309,1.336,1.469,1.741,2.034,0.539,0.594,0.551,0.434,0.488,0.927,1.153,1.235,1.483,1.222,1.266,1.09,1.376,1.615,1.868,2.235,2.626,2.936,3.533,3.876,4.368,4.422,4.98,5.146,5.241,4.879,3.57,3.641,2015
Suriname,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1320.196,1434.456,1313.625,1020.848,1133.128,2120.745,2605.667,2750.695,3264.332,2649.744,2712.6,2301.928,2872.138,3335.527,3789.587,4483.534,5208.555,5758.066,6832.947,7394.097,8224.066,8190.699,9194.151,9412.643,9501.109,8767.97,6332.607,6373.485,2014
Swaziland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.142,1.144,1.092,1.184,0.998,0.714,0.77,1.028,1.038,1.045,1.23,1.292,1.442,1.479,1.608,1.951,1.858,1.986,1.833,1.81,1.797,1.602,1.476,2.266,2.859,3.245,3.351,3.526,3.356,3.648,4.498,4.878,4.755,4.42,4.301,3.929,3.77,3.938,2015
Swaziland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2097.981,2041.205,1892.921,1993.501,1626.444,1121.543,1160.748,1484.255,1435.16,1389.487,1579.462,1614.378,1760.625,1769.749,1887.694,2243.968,2092.057,2186.436,1975.231,1913.86,1872.639,1651.67,1511.88,2308.429,2894.585,3255.344,3321.591,3456.578,3254.282,3498.338,4267.041,4572.426,4404.122,4046.013,3890.364,3511.761,3329.789,3432.769,2015
Timor-Leste,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.444,0.494,0.483,0.503,1.102,1.846,2.819,2.903,4.487,3.391,4.267,5.973,6.809,5.641,4.175,2.874,2.498,2.727,2014
